"Other Crops: Volume of Production, by Region and by Province, 1990-2019"

"Crop";"Geolocation";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Bottle gourd/Upo";"..REGION X (NORTHERN MINDANAO)";975.19;1154.85;1246.58;1240.34;1163.65;1153.98;1169.30;753.41;877.39;888.74;1175.27;1199.98;1231.66;4510.36;3607.52;3662.71;3657.31;3501.79;3718.15;3406.33;3467.07;3481.76;3537.74;3525.20;3498.27;3455.49;3484.27;3545.59;3589.00;3631.79
"Cabbage";"..REGION X (NORTHERN MINDANAO)";2072.11;1986.53;2216.72;2235.33;2253.85;2857.45;2824.12;2611.26;2413.30;2490.59;2576.02;2544.74;2683.71;2913.13;2816.53;2890.72;3051.74;3566.57;5580.70;5994.58;5735.50;5751.50;6090.80;6296.84;6709.74;6672.40;6523.70;6806.60;6958.91;7035.62
"Carrots";"..REGION X (NORTHERN MINDANAO)";83.20;65.58;120.44;124.59;107.40;91.34;84.52;137.06;151.89;233.47;322.40;326.68;332.74;329.67;573.95;717.73;766.37;827.76;1200.72;1346.66;1284.45;1260.71;1296.25;1244.45;1263.80;1231.80;1226.45;1246.87;1258.65;1272.48
"Cassava";"..REGION X (NORTHERN MINDANAO)";94247.30;105009.53;119712.58;158712.93;159108.11;141154.77;137319.88;155285.09;73983.01;87813.85;88990.41;80192.13;93444.57;104307.53;138214.71;150483.75;228269.90;310517.03;348971.32;417942.77;471510.90;551122.51;558954.78;601288.53;663579.69;728845.14;705334.36;736545.61;716913.80;688063.29
"Cauliflower";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;9.61;9.61;6.40;6.55;12.98;16.97;17.01;80.88;114.52;275.68;386.81;442.25;690.52;927.06;834.02;901.50;946.00;1022.04;1051.00;1032.20;1032.45;1081.80;1113.55;1131.55
"Eggplant";"..REGION X (NORTHERN MINDANAO)";1577.24;1940.15;1946.99;2001.94;2064.16;2060.88;2076.56;2548.77;2056.23;2541.78;2727.97;2729.20;2962.93;2995.60;2946.96;2920.16;3157.63;3258.79;3608.27;3697.40;3793.87;4102.11;4323.42;4534.69;4778.80;4701.91;4763.32;4965.38;5193.36;5371.27
"Garlic (Dried Bulb)";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Ginger";"..REGION X (NORTHERN MINDANAO)";676.14;750.90;855.50;869.34;816.28;671.68;607.18;596.70;940.26;1134.68;2649.23;2819.80;3003.42;3012.73;3065.00;3114.16;4029.11;4237.77;4677.59;4864.13;5021.54;5360.12;5713.46;5976.68;5702.60;5523.10;5494.39;5414.96;5479.59;5439.55
"Greater yam/Ubi";"..REGION X (NORTHERN MINDANAO)";1193.18;1700.95;1871.20;1490.15;1396.87;1394.56;1515.39;780.06;815.60;1175.75;1449.77;1430.47;1579.11;1529.30;1060.73;900.48;912.95;823.69;797.63;827.95;867.30;872.34;931.50;940.92;1007.10;1011.27;1013.79;1043.73;1060.45;1052.55
"Lady's finger/Okra";"..REGION X (NORTHERN MINDANAO)";200.40;272.63;275.61;244.21;180.41;182.78;186.15;257.14;267.43;472.24;1287.62;1315.83;1369.60;1301.67;1267.37;1297.97;1337.12;1397.48;1464.05;1505.49;1531.71;1632.63;1715.13;1823.55;1857.88;1823.29;1813.44;1884.50;1955.43;1974.51
"Lettuce";"..REGION X (NORTHERN MINDANAO)";96.00;146.00;73.50;156.00;191.00;170.00;220.00;206.00;79.00;71.50;64.72;64.47;64.38;142.94;196.00;1725.23;1672.96;1625.35;1783.17;1794.86;1757.06;1816.12;1821.34;1817.85;1759.42;1593.20;1602.83;1687.12;1728.08;1754.19
"Mung bean/Mongo";"..REGION X (NORTHERN MINDANAO)";268.06;241.65;245.33;245.38;242.79;217.44;215.36;226.28;223.87;513.97;288.84;270.87;297.78;293.45;315.09;316.47;343.01;349.24;347.15;372.03;376.85;372.89;372.58;375.41;366.43;377.21;366.39;374.02;354.34;346.50
"Onion (mature bulb)";"..REGION X (NORTHERN MINDANAO)";25.00;50.00;49.90;50.25;50.73;50.40;52.80;63.55;219.73;299.02;326.89;108.30;113.19;110.41;71.27;6.69;..;..;..;..;..;0.40;..;..;..;..;..;..;..;..
"Peanut";"..REGION X (NORTHERN MINDANAO)";1110.92;1112.29;1105.82;1116.28;1205.50;1087.88;1144.18;1251.75;1171.79;1379.97;2048.13;2055.73;2121.38;2095.48;2095.65;2309.60;2411.64;2945.66;2886.02;3047.27;3091.31;2922.90;2739.32;2632.74;2452.92;2402.54;2415.74;2457.25;2509.30;2595.21
"Pechay, Chinese";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;..;15.20;22.94;22.95;33.80;52.00;54.45;45.90;202.00;453.90;533.99;666.24;1244.68;1584.59;1605.69;1777.90;1917.13;1992.45;2260.30;2174.77;2183.61;2239.46;2297.00;2343.09
"Pechay, Native";"..REGION X (NORTHERN MINDANAO)";1056.23;957.54;991.00;1006.93;948.50;959.20;940.27;1213.56;928.74;931.77;1035.16;991.88;1006.54;1004.09;1004.73;925.34;943.25;1053.85;1116.45;1167.34;1225.37;1264.82;1264.99;1366.01;1348.85;1343.47;1329.65;1319.53;1420.45;1478.39
"Radish";"..REGION X (NORTHERN MINDANAO)";55.78;125.31;124.70;123.68;126.63;294.64;241.56;243.59;169.88;154.79;162.48;180.37;182.93;190.79;185.99;193.60;240.50;238.38;217.07;171.32;128.69;139.97;127.11;156.47;177.23;160.65;153.89;147.42;145.74;141.03
"Snap beans/Habitchuelas";"..REGION X (NORTHERN MINDANAO)";206.11;134.64;138.10;138.10;121.85;125.09;107.53;132.68;103.30;150.00;154.10;159.74;169.19;171.31;211.00;384.97;435.77;461.95;522.17;578.56;559.89;596.03;594.87;611.49;665.65;584.87;598.19;627.77;681.68;710.16
"Squash Fruit";"..REGION X (NORTHERN MINDANAO)";2253.61;2722.49;2757.26;2806.09;3855.66;5376.07;4038.13;4006.06;3313.61;2040.90;1913.69;2007.11;2063.84;4981.39;7241.83;9003.79;9662.85;10765.27;13017.09;14636.23;14864.74;15825.24;15983.69;16106.35;16414.80;16219.44;16120.11;16498.90;16775.74;16948.20
"Stringbeans";"..REGION X (NORTHERN MINDANAO)";595.60;574.55;456.15;422.96;637.43;726.14;751.38;493.54;444.22;608.65;479.40;431.80;430.50;1932.84;1888.82;1845.34;1844.76;1950.32;2118.28;2160.74;2337.33;2463.23;2558.17;2870.40;2941.10;2950.07;2992.48;3088.48;3164.36;3213.92
"Swamp cabbage/Kangkong";"..REGION X (NORTHERN MINDANAO)";1618.85;1713.65;1885.70;1686.77;2398.26;2481.23;2479.60;2062.13;1439.61;1538.30;1406.32;1422.67;1419.10;3367.51;3456.63;3546.56;3614.64;3653.74;3709.75;3407.70;3419.54;3481.76;3591.12;3569.06;3463.37;3444.23;3497.78;3611.92;3704.73;3714.75
"Sweet Potato";"..REGION X (NORTHERN MINDANAO)";25308.63;25680.06;25538.99;29747.18;29104.59;31251.23;29301.56;31971.25;25591.84;20547.11;22932.31;22979.54;22999.39;22904.10;23124.70;23775.07;26997.55;27491.01;28550.68;29436.69;29724.53;31529.59;32473.99;34119.01;34795.33;34442.45;34788.39;35808.85;37025.98;37372.17
"Taro/Gabi";"..REGION X (NORTHERN MINDANAO)";1077.42;1286.28;1319.25;1642.35;1663.12;1679.96;1907.77;1880.32;1618.30;1970.37;1830.21;1843.54;1799.21;1846.70;1931.60;1938.20;2017.01;2548.92;2639.32;2617.62;2710.17;2878.57;2999.18;3074.45;3117.46;3078.89;3084.75;3149.08;3211.93;3278.94
"Tomato";"..REGION X (NORTHERN MINDANAO)";21988.80;22561.53;19170.81;19470.89;22045.77;25884.90;28193.12;27275.51;16603.40;20065.03;21126.94;21373.88;21362.40;20712.69;34987.55;37998.80;40261.81;41698.38;50450.74;52056.19;50485.46;51108.88;50085.92;48934.40;47922.85;45999.74;46213.20;47395.42;47990.98;48528.56
"White/Irish Potato";"..REGION X (NORTHERN MINDANAO)";16181.25;16296.00;16301.00;17056.02;17739.02;25809.92;19856.00;21024.00;5432.20;5743.92;6207.49;7981.99;7326.57;6875.36;6886.00;6662.50;6744.89;6778.01;6945.00;7025.00;6870.00;6745.00;6550.00;6355.00;6145.00;5810.00;5879.20;6034.15;6142.12;6231.10
